,Unnamed: 0,Unnamed: 0.1,Text,Label
0,0,0,#BREAKING: A Germanwings Airbus A320 has crashed in French Alps near Digne (@AhronYoung),rumours
1,1,1,"Updated numbers @AP: BREAKING: #Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.RT ""@AP BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.""“@AP: BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.”@AP gee. is it ok to profile in the deutschland?“@AP: BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.”@AP what about The three people from Mexico?@AP Sending love and strength to all the shocked families left behind. 🙏😔@AP @FAANews @AirportKRAL Automated/GPS directed ground control would have aided in the Air China disaster@AP May their souls rest in perfect peace@AP @FAANews @AirportKRAL Command of the acft would go to ground control if no pilot inputs have been received for X amount of timeBREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans. | @AP@AP @FAANews @AirportKRAL The Airbus needs to be grounded or made to fly under 15,000 until the oxygen system &amp; bleed air is investigated“@AP: BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.”“@AP: BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.”RT “@AP: BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.”Germanwings CEO says that plane victims included 72 German citizens, 35 Spaniards, 2 Americans -- via @AP.@AP @FAANews @AirportKRAL An automated sys should be installed that takes command of the acft if it goes off course for x amount of time@AP Were no British nationalities on board as previously stated?@AP plus 1 Turkish citizen..BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.",rumours
2,2,2,"@YanniKouts @germanwings @flightradar24 A bit low for cruising altitude?@YanniKouts
A320 van #Germanwings neergestort in Franse Alpen Alpes des Hautes Provence.@YanniKouts @oemoral @germanwings @flightradar24 Plane crashed near Digne, South of France according to local police.#A320 @Germanwings flight #4U9525 (registration D-AIPX) was lost from @Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/5Gv9lXJZW8",rumours
3,3,3,#Germanwings co-pilot suffered serious depression 6 years ago: German newspaper http://t.co/LXDzBdNdMB http://t.co/yTUNdHyEJY,rumours
4,4,4,"@ThisIsGaZa إِنَّا لِلّهِ وَإِنَّـا إِلَيْهِ رَاجِعونَPassenger plane carrying 148 people crashes in the French Alps en route from Spain to Germany.
#Germanwings",rumours
5,5,5,😔 “@SkyNewsAust: #WATCH: An aviation expert says the #4U9525 distress call was circulated on Twitter within 3 minutes http://t.co/jN6kUVxXoJ#WATCH: An aviation expert says the #4U9525 distress call was circulated on Twitter within three minutes. http://t.co/ywO1t8O4XI,rumours
6,6,6,@hamishNews http://t.co/k8iIY6bEzL#BREAKING #GERMANWINGS co-pilot confirmed name at Press Conference: FirstName: Andreas Guenter / LastName: Lubitz,rumours
7,7,7,"@Independent@Independent confirmed by who?@Independent really sorry for hearing such a news and feel soo sad for those who lost their lives and loved ones.#BREAKING: Death toll on #Germanwings flight #4U9525 rises to 150 #A320
http://t.co/NK5U1GpHxL",rumours
8,8,8,"😢😢 “@Reuters: 148 people feared dead after Germanwings Airbus crash in France: http://t.co/x4lk7tfexU http://t.co/1tHUjK9vkC”Lamentable: “@Reuters: 148 people feared dead after Germanwings Airbus crash in France""148 people feared dead after Germanwings Airbus crash in France | @Reuters

http://t.co/LnvWSc11Qw@Reuters very sad. may their souls RIP“@Reuters: 148 people feared dead after Germanwings Airbus crash in France: http://t.co/pAZlcFPGa4 http://t.co/3SkuOFdoxu” terrible news.@Reuters terribly sad for their families.@Reuters BRAHMINOLGY -  FATHER OF MODERN REFORM BRAHMANISM IS SRI RODDAM ANANDA VASISTASad day in Travel News. RT: @Reuters 148 people feared dead after Germanwings Airbus crash in France: http://t.co/omvYdmzawV@Reuters Prayers sent .@Reuters CC @biginberson“@Reuters: 148 people feared dead after Germanwings Airbus crash in France: http://t.co/qLDmYjqfnw http://t.co/dtWbLFe7Wd”“@Reuters: 148 people feared dead after Germanwings Airbus crash in France: http://t.co/5vmgbwAqLD http://t.co/2BELm3NdS8”148 people feared dead after Germanwings Airbus crash in France: http://t.co/Ot2Zc4MQH9 http://t.co/U3zy7T9wvD @Reuters@Reuters Not a very nice news at all to start the day with at this end of the planet. I am so sorry for the victims.Tragic news: “@Reuters: 148 people feared dead after Germanwings Airbus crash in France: http://t.co/sHwRBwT3do http://t.co/dww80HWcJC”@Reuters may God comfort all relatves of the loved ones!@dennismaingo95 @Reuters may God explain why he let it happen.“@Reuters: 148 people feared dead after Germanwings Airbus crash in France: http://t.co/zkBKORnOk4 http://t.co/yRaz0mvk7q” oh no!148 people feared dead after Germanwings Airbus crash in France: http://t.co/uuK7F3uSVP http://t.co/Y7e55cwW7B",rumours
9,9,9,@SkyNews This is why don't fly@SkyNews @sugincharles@SkyNews Biafra freedom is now http://t.co/TzlCWSqyMR#Germanwings says it cannot confirm that a very brief distress signal was made before flight #4U9525 crashed http://t.co/Pbr82b0Eul,rumours
